step,mloss,gloss,loss
15500.0,1.0043,0.25,1.2543
15600.0,1.0018,0.2479,1.2497
15700.0,0.992,0.2438,1.2358
15800.0,0.9997,0.2406,1.2403
15900.0,1.0025,0.2485,1.251
16000.0,0.9967,0.2451,1.2418
16100.0,0.9958,0.2435,1.2393
16200.0,1.0027,0.2496,1.2523
16300.0,0.9958,0.2438,1.2396
16400.0,0.9989,0.2381,1.237
16500.0,1.0104,0.2496,1.26
16600.0,0.9948,0.2428,1.2376
16700.0,1.0009,0.2368,1.2376999999999998
16800.0,1.0053,0.2365,1.2418
16900.0,0.9962,0.2443,1.2405
17000.0,1.0088,0.2363,1.2450999999999999
17100.0,1.0051,0.2426,1.2477
17200.0,0.9954,0.2352,1.2306
17300.0,0.9978,0.2441,1.2419
17400.0,0.9981,0.2434,1.2415
17500.0,0.9842,0.2356,1.2198
17600.0,0.9948,0.2424,1.2372
17700.0,1.0028,0.2318,1.2346
17800.0,0.9883,0.2344,1.2227
17900.0,0.9996,0.2399,1.2395
18000.0,0.9975,0.2455,1.243
18100.0,0.9953,0.2347,1.23
18200.0,1.0011,0.2386,1.2397
18300.0,0.9928,0.2326,1.2254
18400.0,0.989,0.2341,1.2231
18500.0,0.9808,0.2336,1.2144
18600.0,0.9869,0.2371,1.224
18700.0,0.9957,0.2312,1.2269
18800.0,0.9838,0.2385,1.2223
18900.0,0.9952,0.2423,1.2375
19000.0,0.9861,0.2377,1.2238
19100.0,0.9857,0.2345,1.2202
19200.0,1.0112,0.2277,1.2389000000000001
19300.0,1.0113,0.2356,1.2469000000000001
19400.0,0.984,0.2289,1.2128999999999999
19500.0,0.9891,0.2288,1.2179
19600.0,1.0017,0.2311,1.2328000000000001
19700.0,0.99,0.2319,1.2219
19800.0,1.0024,0.2356,1.238
19900.0,0.9763,0.2297,1.206
20000.0,0.9853,0.2352,1.2205
20100.0,0.9887,0.2319,1.2206000000000001
20200.0,1.0047,0.2382,1.2429
20300.0,0.9954,0.2352,1.2306
20400.0,0.9842,0.2348,1.2189999999999999
20500.0,0.9892,0.2303,1.2195
20600.0,0.989,0.2268,1.2158
20700.0,0.9824,0.2296,1.212
20800.0,0.9869,0.226,1.2129
20900.0,0.9877,0.2321,1.2198
21000.0,1.0075,0.2256,1.2331
21100.0,0.9943,0.2233,1.2176
21200.0,0.9759,0.2333,1.2092
21300.0,0.9846,0.2287,1.2133
21400.0,0.992,0.2237,1.2157
21500.0,0.963,0.2262,1.1892
21600.0,1.0054,0.2242,1.2296
21700.0,0.989,0.2365,1.2255
21800.0,0.9873,0.2263,1.2136
21900.0,0.991,0.2309,1.2219
22000.0,1.0053,0.2199,1.2252
22100.0,0.9921,0.2316,1.2237
22200.0,0.9604,0.227,1.1874
22300.0,0.9767,0.2238,1.2005
22400.0,0.9829,0.2276,1.2105
22500.0,0.9867,0.2275,1.2142
22600.0,0.9747,0.2225,1.1972
22700.0,1.0,0.2258,1.2258
22800.0,0.9688,0.2251,1.1939
22900.0,1.0037,0.2196,1.2233
23000.0,0.9649,0.2197,1.1846
23100.0,0.9909,0.227,1.2179
23200.0,0.9878,0.2234,1.2112
23300.0,0.9811,0.2203,1.2014
23400.0,0.9813,0.2192,1.2005
23500.0,0.9886,0.2145,1.2031
23600.0,0.981,0.2193,1.2003
23700.0,0.9723,0.2134,1.1857
23800.0,0.9742,0.2164,1.1905999999999999
23900.0,0.9756,0.2201,1.1957
24000.0,0.9907,0.2234,1.2141
24100.0,0.9777,0.215,1.1927
24200.0,0.9727,0.2261,1.1988
24300.0,0.9727,0.2244,1.1971
24400.0,0.9946,0.2261,1.2207000000000001
24500.0,0.9817,0.2217,1.2034
24600.0,0.9721,0.2201,1.1922
24700.0,0.9864,0.2203,1.2067
24800.0,0.9578,0.2111,1.1689
24900.0,0.9964,0.2215,1.2179
25000.0,0.9913,0.22,1.2113
