Model,Amount,Date,Time,WD Bank,WD Acct,DP Bank,DP Acct,Media,Fund,Mean_JS
SMOTE,0.004,0.119,0.002,0.004,0.144,0.017,0.176,0.003,0.0,0.052
CTGAN,0.109,0.214,0.028,0.042,0.238,0.067,0.223,0.021,0.003,0.105
TVAE,0.106,0.54,0.271,0.114,0.495,0.25,0.57,0.074,0.0,0.269
CTAB-GAN,0.045,0.559,0.103,0.214,0.527,0.307,0.577,0.138,0.006,0.275
CTAB-GAN+,0.077,0.346,0.016,0.029,0.253,0.043,0.301,0.009,0.001,0.12
TabDDPM,0.012,0.05,0.003,0.007,0.074,0.01,0.098,0.006,0.0,0.029
GReaT,0.0,0.048,0.001,0.004,0.056,0.008,0.083,0.002,0.0,0.023
TabPFGen,0.009,0.693,0.599,0.693,0.693,0.693,0.693,0.585,0.0,0.518
